Array Element	Locus Identifier	Annotation
A_84_P842489	AT5G62860	F-box family protein-related
A_84_P290734	AT5G20730	NPH4 (NON-PHOTOTROPHIC HYPOCOTYL); transcription factor
A_84_P739163	AT2G02820	MYB88 (myb domain protein 88); DNA binding / transcription factor
A_84_P21506	AT5G06850	C2 domain-containing protein
A_84_P769774	ATCG01110	"Encodes the 49KDa plastid NAD(P)H dehydrogenase subunit H protein.  Its transcription is regulated by an ndhF-specific plastid sigma factor, SIG4."
A_84_P514686	AT3G46300	similar to unknown protein [Arabidopsis thaliana] (TAIR:AT3G46310.1); similar to hypothetical protein [Vitis vinifera] (GB:CAN66779.1)
A_84_P752360	AT1G43120;AT1G43110	"[AT1G43120, pseudogene, putative polygalacturonase, blastp match of 35% identity and 7.8e-14 P-value to GP|1247377|emb|CAA01911.1||A28056 B2 protein allergen {Cynodon dactylon}];[AT1G43110, pseudogene, putative polygalacturonase, blastp match of 52% identity and 7.3e-73 P-value to GP|4826572|emb|CAB42886.1||AJ238848 polygalacturonase {Phleum pratense}]"
A_84_P217768	AT3G24150	similar to unknown protein [Arabidopsis thaliana] (TAIR:AT4G32295.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO65691.1)
A_84_P768915	AT5G28824	other RNA
A_84_P21351	AT4G05230	ubiquitin family protein
A_84_P11278	AT5G66120	"3-dehydroquinate synthase, putative"
A_84_P602427	AT2G16575	similar to unknown protein [Arabidopsis thaliana] (TAIR:AT1G17780.2); similar to hypothetical protein [Vitis vinifera] (GB:CAN66610.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO39378.1); similar to fiber protein Fb32 [Gossypium barbadense] (GB:AAQ84324.1)
A_84_P847323	AT2G18210	similar to unknown protein [Arabidopsis thaliana] (TAIR:AT4G36500.1); similar to hypothetical protein [Thellungiella halophila] (GB:ABB45855.1)
A_84_P824086	AT4G31420	zinc finger (C2H2 type) family protein
A_84_P11662	AT2G34560	"katanin, putative"
A_84_P17285	AT2G34990	zinc finger (C3HC4-type RING finger) family protein
A_84_P200864	AT3G29033	glycine-rich protein
A_84_P22188	AT3G08500	MYB83 (myb domain protein 83); DNA binding / transcription factor
A_84_P84219	AT5G43640	40S ribosomal protein S15 (RPS15E)
A_84_P14966	AT5G42170	carboxylesterase
A_84_P831277	AT4G00990	transcription factor jumonji (jmjC) domain-containing protein
A_84_P17256	AT2G40140	CZF1/ZFAR1; transcription factor
A_84_P21518	AT5G10270	CDKC;1 (CYCLIN-DEPENDENT KINASE C;1); kinase
A_84_P713641	AT5G52720	metal ion binding
A_84_P18295	AT2G27330	RNA recognition motif (RRM)-containing protein
A_84_P608788	AT3G15351	similar to hypothetical protein OsI_025123 [Oryza sativa (indica cultivar-group)] (GB:EAZ03891.1)
A_84_P787659	AT4G09970	unknown protein
A_84_P15181	AT1G78900	"VHA-A; ATP binding / hydrogen ion transporting ATP synthase, rotational mechanism"
A_84_P10274	AT1G64355	similar to unnamed protein product [Vitis vinifera] (GB:CAO65822.1)
A_84_P18001	AT1G65500	similar to unknown protein [Arabidopsis thaliana] (TAIR:AT1G65486.1)
A_84_P19572	AT4G38890	dihydrouridine synthase family protein
A_84_P19361	AT3G45860	"receptor-like protein kinase, putative"
A_84_P589589	AT5G46600	similar to unknown protein [Arabidopsis thaliana] (TAIR:AT4G17970.1); similar to unknown protein [Arabidopsis thaliana] (TAIR:AT5G46610.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO63429.1); contains InterPro domain Protein of unknown function UPF0005 (InterPro:IPR006214)
A_84_P19694	AT5G41680	protein kinase family protein
A_84_P597183	AT2G45900	"similar to unknown protein [Arabidopsis thaliana] (TAIR:AT3G61380.1); similar to {, related [Medicago truncatula] (GB:ABD32828.1); contains domain PTHR21726:SF4 (PTHR21726:SF4); contains domain PTHR21726 (PTHR21726)"
A_84_P861768	AT5G43760	"beta-ketoacyl-CoA synthase, putative"
A_84_P766364	AT2G08986;AT5G31770	"[AT2G08986, similar to unknown protein [Arabidopsis thaliana] (TAIR:AT2G07981.1); similar to Hypothetical protein CBG09238 [Caenorhabditis briggsae AF16] (GB:XP_001674299.1)];[AT5G31770, transposable element gene]"
A_84_P510081	AT2G27650	ubiquitin carboxyl-terminal hydrolase-related
A_84_P13702	AT3G49240	EMB1796 (EMBRYO DEFECTIVE 1796); binding
A_84_P22570	AT5G51980	"WD-40 repeat family protein / zfwd2 protein (ZFWD2), putative"
A_84_P216858	AT3G04350	"similar to unknown protein [Arabidopsis thaliana] (TAIR:AT5G18490.1); similar to unknown protein [Arabidopsis thaliana] (TAIR:AT5G43950.1); similar to unknown protein [Arabidopsis thaliana] (TAIR:AT1G04090.1); similar to hypothetical protein [Vitis vinifera] (GB:CAN77840.1); similar to hypothetical protein [Vitis vinifera] (GB:CAN61465.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO40557.1); contains InterPro domain Protein of unknown function DUF946, plant (InterPro:IPR009291)"
A_84_P758168	AT2G02026	unknown protein
A_84_P819788	AT5G46420	16S rRNA processing protein RimM family
A_84_P714286	AT1G36060	"AP2 domain-containing transcription factor, putative"
A_84_P95346	AT5G52970	thylakoid lumen 15.0 kDa protein
A_84_P830486	AT2G32010	endonuclease/exonuclease/phosphatase family protein
A_84_P278230	AT3G14090	ATEXO70D3 (exocyst subunit EXO70 family protein D3); protein binding
A_84_P200314	AT3G32940	RNA binding
A_84_P755295	AT2G03300	Toll-Interleukin-Resistance (TIR) domain-containing protein
A_84_P818653	AT1G76260	transducin family protein / WD-40 repeat family protein
A_84_P850750	AT5G50300	xanthine/uracil/vitamin C permease family protein
A_84_P21184	AT3G17790	ATACP5 (acid phosphatase 5); acid phosphatase/ protein serine/threonine phosphatase
A_84_P21164	AT3G08760	ATSIK; kinase
A_84_P761727	AT3G13437	unknown protein
A_84_P11438	AT1G78000	SULTR1;2 (SULFATE TRANSPORTER 1;2); sulfate transmembrane transporter
A_84_P12980	AT1G62690	unknown protein
A_84_P219348	AT1G62900	"O-methyltransferase, putative"
A_84_P753319	AT1G14100	FUT8 (FUCOSYLTRANSFERASE 8); galactoside 2-alpha-L-fucosyltransferase
A_84_P11345	AT1G17750	"leucine-rich repeat transmembrane protein kinase, putative"
A_84_P10093	AT4G32605	transcription factor
A_84_P22086	AT3G01610	CDC48C (EMBRYO DEFECTIVE 1354); ATPase
A_84_P17152	AT1G21400	"2-oxoisovalerate dehydrogenase, putative / 3-methyl-2-oxobutanoate dehydrogenase, putative / branched-chain alpha-keto acid dehydrogenase E1 alpha subunit, putative"
A_84_P766001	AT5G58340	DNA binding
A_84_P18380	AT1G12950	MATE efflux family protein
A_84_P13152	AT1G55280	"similar to unnamed protein product [Vitis vinifera] (GB:CAO22049.1); contains InterPro domain Lipase/lipooxygenase, PLAT/LH2 (InterPro:IPR008976)"
A_84_P288654	AT1G22530	PATL2; transporter
A_84_P592291	AT5G50375	CPI1 (CYCLOPROPYL ISOMERASE)
A_84_P816766	AT3G61070	PEX11E
A_84_P143569	AT1G08320	bZIP family transcription factor
A_84_P826004	AT1G07000	ATEXO70B2 (exocyst subunit EXO70 family protein B2); protein binding
A_84_P55550	AT4G32280	IAA29 (indoleacetic acid-induced protein 29); transcription factor
A_84_P850053	AT5G54090	DNA mismatch repair MutS family protein
A_84_P12600	AT2G34320	nucleic acid binding
A_84_P830326	AT1G34780	ATAPRL4 (APR-LIKE 4)
A_84_P13824	AT4G21326	ATSBT3.12; subtilase
A_84_P15638	AT3G59790	ATMPK10 (Arabidopsis thaliana MAP kinase 10); MAP kinase/ kinase
A_84_P10114	AT4G38400	ATEXLA2 (ARABIDOPSIS THALIANA EXPANSIN-LIKE A2)
A_84_P16185	AT1G63730	"disease resistance protein (TIR-NBS-LRR class), putative"
A_84_P278280	AT2G39570	ACT domain-containing protein
A_84_P16667	AT4G22940	protein kinase family protein
A_84_P555759	AT5G39350	pentatricopeptide (PPR) repeat-containing protein
A_84_P13632	AT3G26700	protein kinase family protein
A_84_P847933	AT4G30072	Encodes a defensin-like (DEFL) family protein.
A_84_P568522	AT2G02750	pentatricopeptide (PPR) repeat-containing protein
A_84_P11470	AT1G66400	"calmodulin-related protein, putative"
A_84_P846074	AT2G32080	PUR ALPHA-1 (purin-rich alpha 1); nucleic acid binding
A_84_P16778	AT5G07180	ERL2 (ERECTA-LIKE 2); kinase
A_84_P593798	AT3G61660	similar to unknown protein [Arabidopsis thaliana] (TAIR:AT2G46375.1)
A_84_P860129	AT4G40045	similar to unnamed protein product [Vitis vinifera] (GB:CAO46561.1)
A_84_P526889	AT2G17300	similar to unknown protein [Arabidopsis thaliana] (TAIR:AT4G35320.1)
A_84_P823277	AT1G12250	thylakoid lumenal protein-related
A_84_P17255	AT2G40930	UBP5 (UBIQUITIN-SPECIFIC PROTEASE 5); ubiquitin-specific protease
A_84_P165603	AT3G05290	mitochondrial substrate carrier family protein
A_84_P816484	AT1G14370	APK2A (PROTEIN KINASE 2A); kinase
A_84_P23531	AT1G33240	AT-GTL1 (Arabidopsis thaliana GT2-like 1); transcription factor
A_84_P869814	AT4G05330;AT2G14490	"[AT4G05330, AGD13 (ARF-GAP DOMAIN 13); ARF GTPase activator/ zinc ion binding];[AT2G14490, pseudogene, ARF GTPase-activating domain-containing protein, similar to zinc finger and C2 domain protein GI:9957238 from (Arabidopsis thaliana); blastp match of 53% identity and 4.3e-27 P-value to GP|19386828|dbj|BAB86206.1||AP003735 putative zinc finger and C2 domain protein {Oryza sativa (japonica cultivar-group)}]"
A_84_P127131	AT3G05750	similar to unknown protein [Arabidopsis thaliana] (TAIR:AT5G26910.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO17458.1); contains InterPro domain Homeodomain-like (InterPro:IPR009057)
A_84_P837278	AT2G22010	zinc finger (C3HC4-type RING finger) family protein
A_84_P810760	AT1G74910	ADP-glucose pyrophosphorylase family protein
A_84_P611069	AT5G25860	F-box family protein
A_84_P187034	AT3G47760	"ATATH4 (ABC2 homolog 4); ATPase, coupled to transmembrane movement of substances"
A_84_P91449	AT5G63060	transporter
A_84_P820158	AT2G18050	HIS1-3 (HISTONE H1-3); DNA binding
A_84_P795531	AT1G48970	GTP binding / translation initiation factor
A_84_P858421	AT5G18520	"similar to unknown protein [Arabidopsis thaliana] (TAIR:AT3G09570.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO18079.1); contains InterPro domain Transmembrane receptor, eukaryota; (InterPro:IPR009637)"
A_84_P21660	AT1G55340	similar to unknown protein [Arabidopsis thaliana] (TAIR:AT3G03880.1); similar to unknown [Populus trichocarpa] (GB:ABK93768.1); contains InterPro domain Protein of unknown function DUF1639 (InterPro:IPR012438)
A_84_P95886	AT2G47990	SWA1 (SLOW WALKER1); nucleotide binding
A_84_P205588	AT4G35880	aspartyl protease family protein
A_84_P760996	AT3G32095	transposable element gene
A_84_P16702	AT4G30530	"defense-related protein, putative"
A_84_P514944	AT5G21030	PAZ domain-containing protein / piwi domain-containing protein
A_84_P769719	ATCG00490	large subunit of RUBISCO.
A_84_P24058	AT3G14100	"oligouridylate-binding protein, putative"
A_84_P821147	AT2G40270	protein kinase family protein
A_84_P11479	AT1G01260	basic helix-loop-helix (bHLH) family protein
A_84_P844403	AT2G27090	similar to unknown protein [Arabidopsis thaliana] (TAIR:AT4G39790.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO67364.1); contains InterPro domain Protein of unknown function DUF632 (InterPro:IPR006867); contains InterPro domain Protein of unknown function DUF630 (InterPro:IPR006868)
A_84_P757276	AT2G25295	LCR81 (Low-molecular-weight cysteine-rich 81)
A_84_P765650	AT4G17908	pseudogene of ubiquitin-specific protease
A_84_P862113	AT5G62880	ARAC10/ATRAC10/ATROP11 (RHO-RELATED PROTEIN FROM PLANTS 11); GTP binding
A_84_P116402	AT3G57810	OTU-like cysteine protease family protein
A_84_P755896	AT2G35180	"pseudogene, 60S ribosomal protein L37a,  blastp match of 96% identity and 1.7e-35 P-value to GP|20161109|dbj|BAB90039.1||AP003335 putative 60S ribosomal protein L37a {Oryza sativa (japonica cultivar-group)}"
A_84_P810504	AT2G47170	ARF1A1c (ADP-RIBOSYLATION FACTOR 1); GTP binding / phospholipase activator/ protein binding
A_84_P862826	AT1G79810	TED3 (REVERSAL OF THE DET PHENOTYPE); protein binding / zinc ion binding
A_84_P23686	AT1G75700	HVA22G (HVA22-LIKE PROTEIN G)
A_84_P12642	AT3G10020	similar to Os12g0147200 [Oryza sativa (japonica cultivar-group)] (GB:NP_001066153.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO15981.1); similar to Os11g0149200 [Oryza sativa (japonica cultivar-group)] (GB:NP_001065754.1)
A_84_P23068	AT3G16630	ATKINESIN-13A/KINESIN-13A; microtubule motor
A_84_P835099	AT2G24220	ATPUP5 (Arabidopsis thaliana purine permease 5); purine transmembrane transporter
A_84_P513894	AT4G12970	similar to unnamed protein product [Vitis vinifera] (GB:CAO17947.1)
A_84_P819731	AT4G32290	"similar to unknown protein [Arabidopsis thaliana] (TAIR:AT5G25330.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO44242.1); contains InterPro domain Protein of unknown function DUF266, plant (InterPro:IPR004949)"
A_84_P16002	AT5G65720	ATNFS1/ATNIFS1/NFS1/NIFS1 (ARABIOPSIS THALIANA NITROGEN FIXATION S HOMOLOG 1); cysteine desulfurase/ transaminase
A_84_P14838	AT4G37950	lyase
A_84_P21633	AT5G54750	"transport protein particle (TRAPP) component Bet3, putative"
A_84_P190864	AT3G07430	EMB1990 (EMBRYO DEFECTIVE 1990)
A_84_P302090	AT4G38090	"similar to unnamed protein product [Vitis vinifera] (GB:CAO22676.1); contains InterPro domain Protein of unknown function UPF0029, N-terminal (InterPro:IPR001498)"
A_84_P823548	AT1G62040	ATG8C (AUTOPHAGY 8C); microtubule binding
A_84_P756324	AT2G07694	transposable element gene
A_84_P16823	AT1G01060	LHY (LATE ELONGATED HYPOCOTYL); DNA binding / transcription factor
A_84_P13224	AT1G44085	glycine-rich protein
A_84_P163223	AT3G13760	DC1 domain-containing protein
A_84_P788250	AT3G20540	POLGAMMA1 (polymerase gamma 1); DNA binding / DNA-directed DNA polymerase
A_84_P10972	AT4G13170	60S ribosomal protein L13A (RPL13aC)
A_84_P867071	AT4G26550	similar to unknown protein [Arabidopsis thaliana] (TAIR:AT5G56020.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO45187.1); contains InterPro domain SFT2-like (InterPro:IPR011691)
A_84_P827994	AT4G22320	similar to unknown protein [Arabidopsis thaliana] (TAIR:AT5G55210.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO23253.1)
A_84_P21635	AT1G33080	MATE efflux family protein
A_84_P509127	AT2G04395	DNA binding
A_84_P804860	AT1G76920	F-box family protein (FBX3)
A_84_P720478	AT1G01490	heavy-metal-associated domain-containing protein
A_84_P819166	AT1G19400	similar to unknown protein [Arabidopsis thaliana] (TAIR:AT1G75180.3); similar to unknown protein [Arabidopsis thaliana] (TAIR:AT1G75180.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO47631.1); contains domain PTHR10996:SF1 (PTHR10996:SF1); contains domain PTHR10996 (PTHR10996)
A_84_P822550	AT3G21140	FMN binding
A_84_P544972	AT4G21740	unknown protein
A_84_P835861	AT3G61390	U-box domain-containing protein
A_84_P843526	AT2G13890	transposable element gene
A_84_P197794	AT4G00710	protein kinase family protein
A_84_P182564	AT4G21323	subtilase family protein
A_84_P10949	AT4G05100	AtMYB74 (myb domain protein 74); DNA binding / transcription factor
A_84_P541449	AT4G32175	RNA binding
A_84_P556767	AT3G19410	F-box family protein
A_84_P17513	AT3G55580	regulator of chromosome condensation (RCC1) family protein
A_84_P785044	AT2G27840	HDT4 (histone deacetylase 13)
A_84_P869165	AT4G15760	"monooxygenase, putative (MO1)"
A_84_P271810	AT2G06990	HEN2 (HUA ENHANCER 2); ATP-dependent helicase
A_84_P15076	AT5G20270	HHP1 (HEPTAHELICAL TRANSMEMBRANE PROTEIN1)
A_84_P125401	AT1G16080	similar to unknown [Populus trichocarpa] (GB:ABK94042.1)
A_84_P19367	AT3G47050	glycosyl hydrolase family 3 protein
A_84_P87719	AT4G35950	ARAC6/ATROP5/RAC2 (RHO-RELATED PROTEIN FROM PLANTS 7); GTP binding
A_84_P833557	AT4G19180	nucleoside phosphatase family protein / GDA1/CD39 family protein
A_84_P213368	AT4G15770	"60S ribosome subunit biogenesis protein, putative"
A_84_P572494	AT4G28703	"similar to unknown protein [Arabidopsis thaliana] (TAIR:AT3G04300.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO44490.1); similar to Os04g0509400 [Oryza sativa (japonica cultivar-group)] (GB:NP_001053279.1); similar to OSJNBb0065L13.6 [Oryza sativa (japonica cultivar-group)] (GB:CAE03363.1); contains InterPro domain RmlC-like jelly roll fold (InterPro:IPR014710); contains InterPro domain Protein of unknown function DUF861, cupin-3 (InterPro:IPR008579); contains InterPro domain Cupin, RmlC-type (InterPro:IPR011051)"
A_84_P710812	AT3G63095	Encodes a Protease inhibitor/seed storage/LTP family protein
A_84_P795955	AT3G63000	NPL41 (NPL4-LIKE PROTEIN 1)
A_84_P829513	AT5G65740	protein binding / zinc ion binding
A_84_P758406	AT2G09994	pseudogene of U-box domain-containing protein / armadillo/beta-catenin repeat family protein
A_84_P590665	AT1G22220	F-box family protein
A_84_P13966	AT5G14650	"polygalacturonase, putative / pectinase, putative"
A_84_P302810	AT1G79010	"NADH-ubiquinone oxidoreductase 23 kDa subunit, mitochondrial (TYKY)"
A_84_P11554	AT2G19940	semialdehyde dehydrogenase family protein
A_84_P145709	AT1G13130	glycosyl hydrolase family 5 protein / cellulase family protein
A_84_P19558	AT4G34920	1-phosphatidylinositol phosphodiesterase-related
A_84_P14653	AT3G50580	histamine receptor
A_84_P230859	AT3G22550	senescence-associated protein-related
A_84_P17467	AT3G45420	lectin protein kinase family protein
A_84_P808151	AT1G01100	60S acidic ribosomal protein P1 (RPP1A)
A_84_P56900	AT1G56610	syntaxin-related family protein
A_84_P760097	AT3G52910	AtGRF4 (GROWTH-REGULATING FACTOR 4)
A_84_P179014	AT4G12710	armadillo/beta-catenin repeat family protein
A_84_P530928	AT5G26805	similar to hypothetical protein [Vitis vinifera] (GB:CAN61594.1)
A_84_P594570	AT3G15240	similar to unknown protein [Arabidopsis thaliana] (TAIR:AT5G53900.2); similar to unnamed protein product [Vitis vinifera] (GB:CAO39314.1); contains domain gb def: At3g15240 (PTHR13902:SF3); contains domain SERINE/THREONINE-PROTEIN KINASE WNK (WITH NO LYSINE)-RELATED (PTHR13902)
A_84_P762442	AT3G23326	MIR853a; miRNA
A_84_P17211	AT1G26300	BSD domain-containing protein
A_84_P18034	AT1G78510	SPS1 (SOLANESYL DIPHOSPHATE SYNTHASE 1); dimethylallyltranstransferase/ trans-octaprenyltranstransferase
A_84_P172881	AT1G27690	similar to unknown protein [Arabidopsis thaliana] (TAIR:AT3G19540.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO70870.1); contains InterPro domain Protein of unknown function DUF620 (InterPro:IPR006873)
A_84_P14824	AT4G34020	DJ-1 family protein
A_84_P850854	AT1G76892;AT1G76890	"[AT1G76892, other RNA];[AT1G76890, GT2; transcription factor]"
A_84_P568817	AT3G61700	"similar to unknown protein [Arabidopsis thaliana] (TAIR:AT2G46420.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO39750.1); contains InterPro domain Conserved hypothetical protein CHP01589, plant (InterPro:IPR006476)"
A_84_P165283	AT4G29550	"similar to unknown protein [Arabidopsis thaliana] (TAIR:AT2G20620.1); contains InterPro domain Protein of unknown function DUF626, Arabidopsis thaliana (InterPro:IPR006462)"
A_84_P14556	AT3G15540	IAA19 (indoleacetic acid-induced protein 19); transcription factor
A_84_P16571	AT3G56400	WRKY70 (WRKY DNA-binding protein 70); transcription factor
A_84_P767701	AT5G33398	transposable element gene
A_84_P11406	AT1G65360	AGL23; DNA binding / transcription factor
A_84_P834124	AT3G57770	"protein kinase, putative"
A_84_P799181	AT1G05660	"polygalacturonase, putative / pectinase, putative"
A_84_P20344	AT3G54110	ATPUMP1; binding / oxidative phosphorylation uncoupler
A_84_P750306	AT1G76010	nucleic acid binding
A_84_P15435	AT2G34370	pentatricopeptide (PPR) repeat-containing protein
A_84_P815442	AT1G63940	"monodehydroascorbate reductase, putative"
A_84_P609497	AT2G03010	similar to unknown protein [Arabidopsis thaliana] (TAIR:AT4G16530.1)
A_84_P593118	AT5G23600	"tRNA 2'phosphotransferase, putative"
A_84_P17514	AT3G55850	LAF3/LAF3 ISF1/LAF3 ISF2 (LONG AFTER FAR-RED 3); hydrolase
A_84_P15489	AT1G53090	SPA4 (SPA1-RELATED 4); signal transducer
A_84_P818701	AT1G78060	glycosyl hydrolase family 3 protein
A_84_P786098	AT1G32920	similar to unknown protein [Arabidopsis thaliana] (TAIR:AT1G32928.1)
A_84_P845925	AT4G01050	hydroxyproline-rich glycoprotein family protein
A_84_P13248	AT1G03800	ATERF10/ERF10 (ERF domain protein 10); DNA binding / transcription factor/ transcription repressor
A_84_P785697	AT3G10260	reticulon family protein
A_84_P763635	AT4G16155	"dihydrolipoamide dehydrogenase 2, plastidic / lipoamide dehydrogenase 2 (PTLPD2)"
A_84_P837949	AT1G59720	pentatricopeptide (PPR) repeat-containing protein
A_84_P156385	AT5G66230	similar to unknown protein [Arabidopsis thaliana] (TAIR:AT3G51230.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO48217.1)
A_84_P143019	AT5G59460	scarecrow-like transcription factor 11 (SCL11)
A_84_P20957	AT1G64390	"ATGH9C2 (ARABIDOPSIS THALIANA GLYCOSYL HYDROLASE 9C2); hydrolase, hydrolyzing O-glycosyl compounds"
A_84_P99686	AT3G16380	PAB6 (POLY(A) BINDING PROTEIN 6); RNA binding / translation initiation factor
A_84_P17405	AT3G25860	LTA2 (PLASTID E2 SUBUNIT OF PYRUVATE DECARBOXYLASE); dihydrolipoyllysine-residue acetyltransferase
A_84_P69764	AT5G51020;AT5G51010	"[AT5G51020, similar to hypothetical protein [Vitis vinifera] (GB:CAN83158.1); contains InterPro domain Protein of unknown function DUF1001 (InterPro:IPR010404)];[AT5G51010, rubredoxin family protein]"
A_84_P190044	AT2G28430	similar to unknown [Populus trichocarpa] (GB:ABK94614.1)
A_84_P121092	AT2G20740	similar to unknown protein [Arabidopsis thaliana] (TAIR:AT2G20230.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO23953.1)
A_84_P14343	AT1G18070	"EF-1-alpha-related GTP-binding protein, putative"
A_84_P850245	AT1G23860	SRZ-21
A_84_P23510	AT5G50240	PIMT2 (PROTEIN-L-ISOASPARTATE METHYLTRANSFERASE 2); protein-L-isoaspartate (D-aspartate) O-methyltransferase
A_84_P510578	AT5G49080	transposable element gene
A_84_P511366	AT5G10320	similar to 80A08_29 [Brassica rapa subsp. pekinensis] (GB:AAZ67614.1)
A_84_P88889	AT2G05580	"pseudogene, glycine-rich protein"
A_84_P868076	AT2G39518	"Identical to UPF0497 membrane protein At2g39518 [Arabidopsis Thaliana] (GB:Q56X75); similar to integral membrane protein, putative [Arabidopsis thaliana] (TAIR:AT2G39530.1); similar to hypothetical protein [Vitis vinifera] (GB:CAN64094.1); contains InterPro domain Conserved hypothetical protein CHP01569, trans-membrane plant (InterPro:IPR006459); contains InterPro domain Protein of unknown function DUF588 (InterPro:IPR006702)"
A_84_P127161	AT3G51895	SULTR3;1 (SULFATE TRANSPORTER 1); sulfate transmembrane transporter
A_84_P835801	AT4G37900	glycine-rich protein
A_84_P103276	AT5G02160	unknown protein
A_84_P753401	AT1G11592	other RNA
A_84_P810462	AT3G47470	LHCA4 (Photosystem I light harvesting complex gene 4); chlorophyll binding
A_84_P296414	AT5G57500	"transferase, transferring glycosyl groups"
A_84_P21558	AT5G26770	similar to unknown protein [Arabidopsis thaliana] (TAIR:AT3G05830.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO17354.1)
A_84_P21269	AT1G48590	C2 domain-containing protein
A_84_P19683	AT5G38720	similar to hypothetical protein [Vitis vinifera] (GB:CAN75612.1); contains domain PTHR13191 (PTHR13191)
A_84_P546454	AT2G31730	"ethylene-responsive protein, putative"
A_84_P17805	AT5G42490	kinesin motor family protein
A_84_P558185	AT4G00120	EDA33/IND (INDEHISCENT); DNA binding / transcription factor
A_84_P101346	AT2G44300	lipid transfer protein-related
A_84_P15057	AT5G65900	"DEAD/DEAH box helicase, putative"
A_84_P17293	AT2G34710	PHB (PHABULOSA); DNA binding / transcription factor
A_84_P839907	AT1G02960	similar to unknown protein [Arabidopsis thaliana] (TAIR:AT1G02965.1); similar to hypothetical protein [Vitis vinifera] (GB:CAN80011.1)
A_84_P758138	AT2G33006	unknown protein
A_84_P20961	AT1G33440	proton-dependent oligopeptide transport (POT) family protein
A_84_P804167	AT5G26000	"TGG1 (THIOGLUCOSIDE GLUCOHYDROLASE 1); hydrolase, hydrolyzing O-glycosyl compounds"
A_84_P828727	AT1G27390	TOM20-2 (TRANSLOCASE OUTER MEMBRANE 20-2)
A_84_P751862	AT1G60310	transposable element gene
A_84_P269190	AT4G17150	similar to unknown protein [Arabidopsis thaliana] (TAIR:AT4G14290.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO23689.1); contains domain PTHR12277:SF9 (PTHR12277:SF9); contains domain PTHR12277 (PTHR12277); contains domain SSF53474 (SSF53474); contains domain G3DSA:3.40.50.1820 (G3DSA:3.40.50.1820)
A_84_P21865	AT1G76570	chlorophyll A-B binding family protein
A_84_P766285	AT5G34920	transposable element gene
A_84_P199334	AT1G62050	similar to ankyrin repeat family protein [Arabidopsis thaliana] (TAIR:AT1G11740.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO21232.1); contains InterPro domain Ankyrin (InterPro:IPR002110)
A_84_P740606	AT5G65630	GTE7 (GLOBAL TRANSCRIPTION FACTOR GROUP E 7); DNA binding
A_84_P273170	AT5G44550	integral membrane family protein
A_84_P818500	AT4G36730	GBF1 (G-box binding factor 1); transcription factor
A_84_P275400	AT1G17820	similar to unknown protein [Arabidopsis thaliana] (TAIR:AT1G73200.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO62030.1); contains InterPro domain Pleckstrin-like (InterPro:IPR001849)
A_84_P190494	AT5G14170	CHC1
A_84_P521666	AT2G42480	meprin and TRAF homology domain-containing protein / MATH domain-containing protein
A_84_P17772	AT5G25810	TNY (TINY); DNA binding / transcription factor
A_84_P837633	AT3G12880	invertase/pectin methylesterase inhibitor family protein
A_84_P825937	AT4G16940;AT4G16860;AT4G16960	"[AT4G16940, disease resistance protein (TIR-NBS-LRR class), putative];[AT4G16860, RPP4 (RECOGNITION OF PERONOSPORA PARASITICA 4)];[AT4G16960, disease resistance protein (TIR-NBS-LRR class), putative]"
A_84_P23624	AT1G71697	ATCK1 (CHOLINE KINASE)
A_84_P579221	AT2G01280	MEE65 (maternal effect embryo arrest 65); RNA polymerase II transcription factor/ cation:chloride symporter
A_84_P815904	AT3G42170	"transposase-like gene with conserved domains from the family of hAT transposases that includes hobo from Drosophila melanogaster, Activator (Ac) from maize, and Tam3 from snapdragon but lacks several amino acids known to be essential for Ac transposition5. The DAYSLEEPER gene lacks 8 bp duplications and TIRs (a common feature of transcriptionally silent hAT transposases), however, DAYSLEEPER expression was detected, and several expressed sequence tags are available. The expression seems to be under the control of factors determining the circadian rhythm. DAYSLEEPER was isolated as a factor binding to a motif (Kubox1) present in the upstream region of the Arabidopsis DNA repair gene Ku70. Mutant plants lacking DAYSLEEPER or strongly overexpressing this gene do not develop in a normal manner."
A_84_P74654	AT4G37920	similar to unknown protein [Arabidopsis thaliana] (TAIR:AT1G36320.1); similar to putative protein [Medicago truncatula] (GB:ABY48137.1)
