Array Element,Annotation
262984_at,similar to WDL1 (WVD2-LIKE 1) [Arabidopsis thaliana] (TAIR:AT3G04630.2); similar to WDL1 (WVD2-LIKE 1) [Arabidopsis thaliana] (TAIR:AT3G04630.3); similar to unknown [Populus trichocarpa] (GB:ABK95727.1); contains InterPro domain Targeting for Xklp2 (InterPro:IPR009675)
252640_at,oxidoreductase_ acting on the CH-CH group of donors
250637_at,GRP17 (Glycine rich protein 17)
251257_at,ATARFA1E (ADP-RIBOSYLATION FACTOR A1E); GTP binding / phospholipase activator/ protein binding
251673_at,BG3 (BETA-1_3-GLUCANASE 3); hydrolase_ hydrolyzing O-glycosyl compounds
265602_at,transposable element gene
247648_at,LAC17 (laccase 17); copper ion binding / oxidoreductase
246240_at,hydroxyproline-rich glycoprotein family protein
247741_at,GIL1 (GRAVITROPIC IN THE LIGHT)
258238_at,RST1 (RESURRECTION1); binding
256507_at,similar to unnamed protein product [Vitis vinifera] (GB:CAO61179.1)
257207_at,similar to unnamed protein product [Vitis vinifera] (GB:CAO39402.1); contains domain PTHR12839 (PTHR12839)
257126_at,UBC19 (UBIQUITIN-CONJUGATING ENZYME19); ubiquitin-protein ligase
245620_at,pentatricopeptide (PPR) repeat-containing protein
258665_at,ATH9 (thioredoxin H-type 9); thiol-disulfide exchange intermediate
261135_at,LCR78/PDF1.4 (Low-molecular-weight cysteine-rich 78)
250624_at,similar to unknown protein [Arabidopsis thaliana] (TAIR:AT1G63060.1); similar to unknown [Xerophyta humilis] (GB:AAT45004.1)
267633_at,similar to unknown protein [Arabidopsis thaliana] (TAIR:AT3G57950.1); similar to Os09g0279200 [Oryza sativa (japonica cultivar-group)] (GB:NP_001062757.1); similar to hypothetical protein OsJ_027512 [Oryza sativa (japonica cultivar-group)] (GB:EAZ44029.1); similar to hypothetical protein OsI_029644 [Oryza sativa (indica cultivar-group)] (GB:EAZ08412.1)
247266_at,XYL4 (beta-xylosidase 4); hydrolase_ hydrolyzing O-glycosyl compounds
261363_at,SKS6 (SKU5 Similar 6); pectinesterase
249843_at,SGS3 (SUPPRESSOR OF GENE SILENCING 3)
246328_at,zinc knuckle (CCHC-type) family protein
257338_s_at,[ATMG00513_ Mitochondrial NADH dehydrogenase subunit 5. The gene is trans-spliced from three different pre-cursors_ NAD5a_ NAD5b and NAD5c.];[AT2G07711_ pseudogene_ similar to NADH dehydrogenase subunit 5_ blastp match of 97% identity and 2.2e-244 P-value to GP|1066145|dbj|BAA07176.1||D37958 NADH dehydrogenase subunit 5 {Malus x domestica}]
259698_at,pentatricopeptide (PPR) repeat-containing protein
257923_at,similar to unknown protein [Arabidopsis thaliana] (TAIR:AT5G04550.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO71334.1); contains InterPro domain Protein of unknown function DUF668 (InterPro:IPR007700)
254426_at,F-box family protein
267534_at,zinc finger (CCCH-type) family protein
249536_at,similar to unknown protein [Arabidopsis thaliana] (TAIR:AT5G53820.1); similar to ABA-inducible protein-like protein [Brassica rapa] (GB:ABV89610.1); contains domain PTHR23241:SF11 (PTHR23241:SF11); contains domain PTHR23241 (PTHR23241)
246676_at,transposable element gene
258813_at,ANAC046 (Arabidopsis NAC domain containing protein 46); transcription factor
256588_at,similar to unknown protein [Arabidopsis thaliana] (TAIR:AT3G28830.1); contains InterPro domain Protein of unknown function DUF1216 (InterPro:IPR009605)
260742_at,IAA34 (indoleacetic acid-induced protein 34); transcription factor
266335_at,KAO2 (ENT-KAURENOIC ACID HYDROXYLASE 2); oxygen binding
263177_at,similar to unknown protein [Arabidopsis thaliana] (TAIR:AT1G30160.2); contains InterPro domain Protein of unknown function DUF295 (InterPro:IPR005174)
254494_at,QRT3 (QUARTET 3)
264006_at,ATHB6 (ARABIDOPSIS THALIANA HOMEOBOX PROTEIN 6); transcription factor
263765_at,SEC14 cytosolic factor_ putative / phosphoglyceride transfer protein_ putative
263480_at,ZIP7 (ZINC TRANSPORTER 7 PRECURSOR); cation transmembrane transporter
255143_at,Ulp1 protease family protein
253973_at,immunophilin / FKBP-type peptidyl-prolyl cis-trans isomerase family protein
248157_at,similar to unknown protein [Arabidopsis thaliana] (TAIR:AT5G54450.1); contains InterPro domain Protein of unknown function DUF295 (InterPro:IPR005174)
258377_at,ATCNGC19 (cyclic nucleotide gated channel 19); calmodulin binding / cyclic nucleotide binding / ion channel
260598_at,CBS domain-containing protein / transporter associated domain-containing protein
263569_at,TTN7 (TITAN7); ATP binding
263182_at,unknown protein
248203_at,MYB49 (myb domain protein 49); transcription factor
254602_at,EDR2 (enhanced disease resistance 2); lipid binding
260117_at,avirulence-responsive family protein / avirulence induced gene (AIG1) family protein
263954_at,sucrose-phosphatase 1 (SPP1)
262568_at,leucine-rich repeat family protein
265900_at,binding / heme binding
249694_at,G6PD1 (GLUCOSE-6-PHOSPHATE DEHYDROGENASE 1); glucose-6-phosphate dehydrogenase
254899_at,protein kinase family protein
253927_at,ATP synthase subunit H family protein
265776_at,prefoldin-related KE2 family protein
249623_at,nucleic acid binding / zinc ion binding
247602_at,RLK1 (RECEPTOR-LIKE PROTEIN KINASE 1); carbohydrate binding / kinase
263764_at,VHA-A2 (VACUOLAR PROTON ATPASE A2); ATPase
263638_at,carbohydrate binding
260778_at,SWAP (Suppressor-of-White-APricot)/ Surp domain-containing protein
246319_at,nucleic acid binding
266756_at,CYP709B2 (cytochrome P450_ family 709_ subfamily B_ polypeptide 2); oxygen binding
246619_at,similar to unknown protein [Arabidopsis thaliana] (TAIR:AT1G25520.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO22988.1); contains InterPro domain Protein of unknown function UPF0016; (InterPro:IPR001727)
251180_at,similar to unknown protein [Arabidopsis thaliana] (TAIR:AT2G47480.1); similar to unknown [Picea sitchensis] (GB:ABK21328.1)
263125_at,similar to F-box family protein [Arabidopsis thaliana] (TAIR:AT1G67390.1); contains InterPro domain Leucine-rich repeat 2 (InterPro:IPR013101)
255297_x_at,[AT5G35025_ transposable element gene];[AT4G04820_ transposable element gene];[AT2G12680_ transposable element gene]
263653_at,ERS2 (ETHYLENE RESPONSE SENSOR 2); receptor
252302_at,condensation domain-containing protein
258208_at,dihydrolipoamide S-acetyltransferase_ putative
256895_at,transposable element gene
247544_at,heat shock protein binding / unfolded protein binding
267308_at,[acyl-carrier-protein] S-malonyltransferase/ binding / catalytic/ transferase
267359_at,similar to unknown protein [Arabidopsis thaliana] (TAIR:AT1G45248.2)
251897_at,protein binding / zinc ion binding
263328_at,reticulon family protein (RTNLB10)
253625_at,signal recognition particle receptor alpha subunit family protein
267339_at,similar to unknown protein [Arabidopsis thaliana] (TAIR:AT3G55690.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO69095.1)
254998_at,choline kinase_ putative
248308_at,dentin sialophosphoprotein-related
265402_at,BSD domain-containing protein
250656_at,similar to unknown protein [Arabidopsis thaliana] (TAIR:AT2G20010.2); similar to hypothetical protein OsI_012657 [Oryza sativa (indica cultivar-group)] (GB:EAY91424.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO42799.1); similar to unknown protein [Oryza sativa] (GB:AAK14418.1); contains InterPro domain Munc13 homology 2 (InterPro:IPR014772); contains InterPro domain Protein of unknown function DUF810 (InterPro:IPR008528); contains InterPro domain Munc13 homology 1 (InterPro:IPR014770)
254168_at,MLO13 (MILDEW RESISTANCE LOCUS O 13); calmodulin binding
255733_at,similar to unknown protein [Arabidopsis thaliana] (TAIR:AT1G68440.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO42150.1)
245256_at,FAR1 (FAR-RED IMPAIRED RESPONSE 1)
264205_at,similar to unknown protein [Arabidopsis thaliana] (TAIR:AT1G34010.1); similar to hypothetical protein OsJ_002345 [Oryza sativa (japonica cultivar-group)] (GB:EAZ12520.1)
262921_at,APL (ALTERED PHLOEM DEVELOPMENT); transcription factor
257185_at,ATMRP7 (Arabidopsis thaliana multidrug resistance-associated protein 7)
244905_at,hypothetical protein
261173_at,RabGAP/ TBC domain-containing protein
245628_at,PAP1 (PRODUCTION OF ANTHOCYANIN PIGMENT 1); DNA binding / transcription factor
260775_at,GRF2 (GENERAL REGULATORY FACTOR 2); protein phosphorylated amino acid binding
263409_at,glycine-rich protein
247581_at,protein kinase family protein
246550_at,gibberellin-regulated family protein
266431_at,transposable element gene
255062_at,similar to unknown protein [Arabidopsis thaliana] (TAIR:AT4G01037.1); similar to hypothetical protein [Vitis vinifera] (GB:CAN62585.1); contains InterPro domain Protein of unknown function DUF860_ plant (InterPro:IPR008578)
265021_at,SET domain-containing protein
263365_at,DNAJ chaperone C-terminal domain-containing protein
262076_at,ATMPK2 (MITOGEN-ACTIVATED PROTEIN KINASE HOMOLOG 2); MAP kinase/ kinase
248659_at,cyclin family protein
252213_at,2-oxoacid-dependent oxidase_ putative
256870_at,CYP71B34 (cytochrome P450_ family 71_ subfamily B_ polypeptide 34); oxygen binding
263768_x_at,transposable element gene
246644_at,peptidyl-prolyl cis-trans isomerase
265643_at,proline-rich family protein
251557_at,(VACUOLAR ATP SYNTHASE SUBUNIT D); ATPase_ coupled to transmembrane movement of substances / hydrogen ion transporting ATPase_ rotational mechanism
260186_at,similar to DEAD/DEAH box helicase_ putative [Arabidopsis thaliana] (TAIR:AT1G35530.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO15456.1); contains domain PTHR14025:SF5 (PTHR14025:SF5); contains domain PTHR14025 (PTHR14025)
262959_at,eukaryotic translation initiation factor SUI1_ putative
260680_s_at,[AT1G08000_ zinc finger (GATA type) family protein];[AT1G08010_ zinc finger (GATA type) family protein]
266775_at,scarecrow transcription factor family protein
264546_at,BolA-like family protein
267314_at,no_match
245160_at,leucine-rich repeat family protein
245305_at,similar to unknown protein [Arabidopsis thaliana] (TAIR:AT5G47635.1); similar to hypothetical protein 40.t00006 [Brassica oleracea] (GB:ABD65131.1)
256055_at,mitochondrial substrate carrier family protein
252055_at,40S ribosomal protein S14 (RPS14C)
263992_at,transposable element gene
260040_at,IDA (INFLORESCENCE DEFICIENT IN ABSCISSION)
253656_at,EMB1353 (EMBRYO DEFECTIVE 1353)
257001_at,small nuclear ribonucleoprotein_ putative / snRNP_ putative / Sm protein_ putative
260632_at,STM (SHOOT MERISTEMLESS); transcription factor
255813_at,kelch repeat-containing F-box family protein
267169_at,short-chain dehydrogenase/reductase (SDR) family protein
251708_at,zinc finger (C3HC4-type RING finger) family protein
250803_at,endonuclease/exonuclease/phosphatase family protein
267465_at,SLP3 (Subtilisin-like serine protease 3); subtilase
265812_at,contains domain PTHR13448 (PTHR13448)
249800_at,MTN3 (ARABIDOPSIS HOMOLOG OF MEDICAGO TRUNCATULA MTN3)
262044_s_at,[AT1G80210_ similar to mov34 family protein [Arabidopsis thaliana] (TAIR:AT3G06820.2); similar to Os05g0542600 [Oryza sativa (japonica cultivar-group)] (GB:NP_001056196.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO46054.1); contains InterPro domain Mov34/MPN/PAD-1 (InterPro:IPR000555)];[AT3G06820_ mov34 family protein]
261738_s_at,[AT1G47813_ similar to unknown protein [Arabidopsis thaliana] (TAIR:AT1G47820.1); similar to unknown protein [Arabidopsis thaliana] (TAIR:AT1G47820.2)];[AT1G47820_ similar to unknown protein [Arabidopsis thaliana] (TAIR:AT1G47813.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO40107.1)]
254084_at,SAE1A (SUMO-ACTIVATING ENZYME 1A); SUMO activating enzyme
262168_at,similar to unknown [Populus trichocarpa x Populus deltoides] (GB:ABK96654.1); contains InterPro domain Protein of unknown function DUF1118 (InterPro:IPR009500)
263958_at,binding
267445_at,pentatricopeptide (PPR) repeat-containing protein
267634_at,actin_ putative
264249_at,AVP2 (ARABIDOPSIS VACUOLAR H+-PYROPHOSPHATASE 2)
254973_at,transposable element gene
260608_at,polygalacturonase_ putative / pectinase_ putative
263580_at,binding
248774_at,similar to hypothetical protein MtrDRAFT_AC150207g26v2 [Medicago truncatula] (GB:ABD32636.1)
258241_at,LBD25 (LOB DOMAIN-CONTAINING PROTEIN 25)
252405_at,similar to unnamed protein product [Vitis vinifera] (GB:CAO64408.1)
257343_s_at,[AT1G34967_ transposable element gene];[AT1G34904_ transposable element gene];[AT5G17125_ transposable element gene]
263149_at,unknown protein
256756_at,haloacid dehalogenase-like hydrolase family protein
251764_at,EPC1 (ECTOPICALLY PARTING CELLS); transferase_ transferring glycosyl groups
250409_at,CBS domain-containing protein
246135_at,zinc finger (C3HC4-type RING finger) family protein
246903_at,unknown protein
247880_at,transcription regulator
266434_s_at,[AT3G18340_ F-box family protein];[AT2G07120_ F-box family protein-related]
264784_s_at,[AT2G17830_ F-box family protein];[AT5G42460_ F-box family protein]
251141_at,beta-galactosidase
257137_at,ATMDR11/ATPGP19/MDR1/MDR11/PGP19 (P-GLYCOPROTEIN 19); ATPase_ coupled to transmembrane movement of substances / auxin efflux transmembrane transporter
252952_at,glycine-rich protein
249238_at,similar to unknown protein [Arabidopsis thaliana] (TAIR:AT3G49320.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO62930.1); contains InterPro domain Metal-dependent protein hydrolase (InterPro:IPR003226)
253836_at,similar to vesicle-associated membrane protein-related [Arabidopsis thaliana] (TAIR:AT5G52990.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO48644.1); contains InterPro domain Longin-like; (InterPro:IPR011012)
250783_at,CYP79A2 (CYTOCHROME P450 79A2); oxygen binding
260017_at,transposable element gene
260012_at,unknown protein
251916_at,proton-dependent oligopeptide transport (POT) family protein
257607_at,pentatricopeptide (PPR) repeat-containing protein
249531_at,ATGDU7 (ARABIDOPSIS THALIANA GLUTAMINE DUMPER 7)
247431_at,SRO5 (SIMILAR TO RCD ONE 5); NAD+ ADP-ribosyltransferase
263226_at,SEC14 cytosolic factor family protein / phosphoglyceride transfer family protein
261295_at,similar to unknown protein [Arabidopsis thaliana] (TAIR:AT3G17800.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO69430.1); contains InterPro domain Protein of unknown function DUF760 (InterPro:IPR008479)
255262_at,equilibrative nucleoside transporter family protein
261581_at,CIPK9 (CBL-INTERACTING PROTEIN KINASE 9); kinase
247942_at,similar to unnamed protein product [Vitis vinifera] (GB:CAO69558.1); contains InterPro domain SRP40_ C-terminal (InterPro:IPR007718); contains InterPro domain LisH dimerisation motif (InterPro:IPR006594)
253435_at,SHS1 (SODIUM HYPERSENSITIVE 1); binding / transporter
248012_at,pentatricopeptide (PPR) repeat-containing protein
256739_s_at,[AT3G29460_ transposable element gene];[AT2G11180_ transposable element gene]
251747_at,similar to F-box family protein [Arabidopsis thaliana] (TAIR:AT3G52680.1); similar to F-box family protein [Arabidopsis thaliana] (TAIR:AT3G52680.2); contains InterPro domain FBD (InterPro:IPR013596); contains InterPro domain FBD-like (InterPro:IPR006566)
245020_at,Encodes cytochrome f apoprotein; involved in photosynthetic electron transport chain; encoded by the chloroplast genome and is transcriptionally repressed by a nuclear gene HCF2.
251945_at,UXS1 (UDP-GLUCURONIC ACID DECARBOXYLASE 1); catalytic
256219_at,similar to hypothetical protein OsI_024078 [Oryza sativa (indica cultivar-group)] (GB:EAZ02846.1)
265911_at,similar to unknown protein [Arabidopsis thaliana] (TAIR:AT4G32610.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO65578.1)
261263_at,Dof-type zinc finger domain-containing protein
264565_at,fringe-related protein
260875_at,SKP2A; protein binding
266582_at,diacylglycerol kinase family protein
248516_at,[AT5G50645_ similar to unknown protein [Arabidopsis thaliana] (TAIR:AT5G50540.1)];[AT5G50540_ similar to unknown protein [Arabidopsis thaliana] (TAIR:AT5G50645.1)]
266517_at,glycine cleavage system H protein_ mitochondrial_ putative
248216_at,unknown protein
262645_at,ATSCO1/ATSCO1/CPEF-G/ SCO1 (SNOWY COTYLEDON1); translation elongation factor/ translation factor_ nucleic acid binding
258912_at,GNS1/ SUR4 membrane family protein
261660_at,HIK (HINKEL); microtubule motor
265985_at,ATPUP5 (Arabidopsis thaliana purine permease 5); purine transmembrane transporter
249447_at,pollen specific phosphatase_ putative / phosphatase and tensin_ putative (PTEN1)
260879_at,exostosin family protein
245055_at,similar to hypothetical protein [Vitis vinifera] (GB:CAN82703.1); contains InterPro domain Protein of unknown function DUF159 (InterPro:IPR003738)
261258_at,aspartate/glutamate/uridylate kinase family protein
252447_at,glycosyl hydrolase family 3 protein
258773_at,sad1/unc-84-like 2 family protein
266760_at,NGA1 (NGATHA1); transcription factor
254850_at,similar to unknown protein [Arabidopsis thaliana] (TAIR:AT4G22850.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO63604.1); contains InterPro domain SNARE associated Golgi protein (InterPro:IPR015414)
263609_at,leucine-rich repeat transmembrane protein kinase_ putative
258601_at,histidyl-tRNA synthetase_ putative / histidine--tRNA ligase_ putative
267403_at,AGL33; DNA binding / transcription factor
252326_at,GAMMA CAL2 (GAMMA CARBONIC ANHYDRASE-LIKE 2); acyltransferase/ transferase
250963_at,kelch repeat-containing F-box family protein
262166_at,myb family transcription factor
249353_at,OLEO2 (OLEOSIN 2)
254491_at,similar to unknown protein [Arabidopsis thaliana] (TAIR:AT1G55340.1); similar to unknown protein [Oryza sativa (japonica cultivar-group)] (GB:BAD73751.1); contains InterPro domain Protein of unknown function DUF1639 (InterPro:IPR012438)
248576_at,MMT (methionine S-methyltransferase); S-adenosylmethionine-dependent methyltransferase
257620_at,DNA binding
248720_at,protein kinase_ putative
265458_at,pyridoxine 5'-phosphate oxidase-related
264611_at,pectate lyase family protein
251052_at,DPA; transcription factor
258597_x_at,xanthine dehydrogenase family protein
264180_at,CER1 protein_ putative
254393_at,oxidoreductase_ zinc-binding dehydrogenase family protein
244988_s_at,[ATCG00840_ One of two chloroplast genes that encode chloroplast ribosomal protein L23_ a constituent of the large subunit of the ribosomal complex];[ATCG01300_ One of two chloroplast genes that encode  chloroplast ribosomal protein L23_ a constituent of the large subunit of the ribosomal complex]
253944_at,similar to unknown protein [Arabidopsis thaliana] (TAIR:AT3G31960.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO38986.1); contains InterPro domain EAP30 (InterPro:IPR007286); contains InterPro domain ESCRT-2 complex_ Vps22p/Eap30 subunit (InterPro:IPR016689)
247994_at,KH domain-containing protein
249655_at,transposable element gene
267522_at,unknown protein
247558_at,HDA05 (HISTONE DEACETYLASE5); histone deacetylase
259205_at,potassium channel tetramerisation domain-containing protein
248145_at,DTW domain-containing protein
246801_at,threonyl-tRNA synthetase / threonine--tRNA ligase (THRRS)
251223_at,AtMYB11 (myb domain protein 11); DNA binding / transcription factor
257389_at,oxidoreductase_ 2OG-Fe(II) oxygenase family protein
260465_at,similar to PTAC2 (PLASTID TRANSCRIPTIONALLY ACTIVE2) [Arabidopsis thaliana] (TAIR:AT1G74850.1); similar to hypothetical protein OsI_002384 [Oryza sativa (indica cultivar-group)] (GB:EAY74537.1); similar to putative PPR protein [Oryza sativa (japonica cultivar-group)] (GB:BAD87953.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO24702.1); contains InterPro domain Pentatricopeptide repeat (InterPro:IPR002885)
261171_at,high mobility group (HMG1/2) family protein / ARID/BRIGHT DNA-binding domain-containing protein
252416_at,ATSMC2 (Arabidopsis thaliana structural maintenance of chromosome 2)
261590_at,ATROPGEF2/ROPGEF2 (KINASE PARTNER PROTEIN-LIKE); Rho guanyl-nucleotide exchange factor/ / protein binding
249602_at,voltage-gated anion channel
252458_at,similar to unknown protein [Arabidopsis thaliana] (TAIR:AT3G47250.1); similar to unknown protein [Arabidopsis thaliana] (TAIR:AT3G47250.3); similar to unknown protein [Arabidopsis thaliana] (TAIR:AT3G47250.2); similar to unnamed protein product [Vitis vinifera] (GB:CAO15956.1); contains InterPro domain Protein of unknown function DUF247_ plant (InterPro:IPR004158)
253576_at,pentatricopeptide (PPR) repeat-containing protein
263502_s_at,[ATMG00980_ ribosomal protein L2];[AT2G07675_ ribosomal protein S12 mitochondrial family protein]
263003_at,calcium-binding EF-hand family protein
257924_at,lesion inducing protein-related
252095_at,epoxide hydrolase_ putative
264316_at,ENT1_AT (EQUILIBRATIVE NUCLEOTIDE TRANSPORTER 1); nucleoside transmembrane transporter
261948_at,similar to unknown protein [Arabidopsis thaliana] (TAIR:AT1G03055.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO62908.1)
259075_at,RNA binding / tRNA (guanine-N2-)-methyltransferase
252243_at,similar to unknown protein [Arabidopsis thaliana] (TAIR:AT3G50150.1); similar to unknown protein [Arabidopsis thaliana] (TAIR:AT3G50130.1); similar to unknown protein [Arabidopsis thaliana] (TAIR:AT3G50170.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO71911.1); similar to hypothetical protein [Vitis vinifera] (GB:CAN59797.1); contains InterPro domain Protein of unknown function DUF247_ plant (InterPro:IPR004158)
246422_at,ATARFB1B; GTP binding
264341_at,unknown protein
253429_at,peptidyl-prolyl cis-trans isomerase cyclophilin-type family protein
266283_at,splicing factor PWI domain-containing protein
261124_at,similar to hypothetical protein OsJ_004408 [Oryza sativa (japonica cultivar-group)] (GB:EAZ14583.1); contains InterPro domain Protein of unknown function DUF185 (InterPro:IPR003788)
266742_at,mitochondrial transcription termination factor-related / mTERF-related
261584_at,DCL1 (DICER-LIKE1); ATP-dependent helicase/ ribonuclease III
255622_at,GT72B1; UDP-glucosyltransferase/ UDP-glycosyltransferase/ transferase_ transferring glycosyl groups
265652_x_at,transposable element gene
263618_at,APC2 (anaphase-promoting complex/cyclosome 2); ubiquitin-protein ligase
249136_at,similar to unknown protein [Arabidopsis thaliana] (TAIR:AT5G10580.1); similar to hypothetical protein [Vitis vinifera] (GB:CAN66486.1); contains InterPro domain Protein of unknown function DUF599 (InterPro:IPR006747)
259512_at,KEU (KEULE); protein transporter
247239_at,pectinesterase family protein
261169_at,ATSPS3F (sucrose phosphate synthase 3F); sucrose-phosphate synthase/ transferase_ transferring glycosyl groups
249216_at,SCPL42 (serine carboxypeptidase-like 42); serine carboxypeptidase
250662_at,sulfotransferase family protein
249940_at,ANAC090 (Arabidopsis NAC domain containing protein 90); transcription factor
259707_at,TAPX; L-ascorbate peroxidase
266584_s_at,[AT1G13430_ sulfotransferase family protein];[AT2G14920_ sulfotransferase family protein]
262405_at,HDG10 (HOMEODOMAIN GLABROUS10); DNA binding / transcription factor
256597_at,60S acidic ribosomal protein P2 (RPP2C)
264443_at,similar to unnamed protein product [Vitis vinifera] (GB:CAO66165.1); contains InterPro domain Protein of unknown function DUF493 (InterPro:IPR007454)
267063_at,similar to unnamed protein product [Vitis vinifera] (GB:CAO18305.1); contains InterPro domain Protein of unknown function DUF309 (InterPro:IPR005500)
262701_at,pseudogene of pentatricopeptide (PPR) repeat-containing protein
261361_at,no_match
259897_at,ATCEL3/ATGH9B3 (ARABIDOPSIS THALIANA GLYCOSYL HYDROLASE 9B3); hydrolase_ hydrolyzing O-glycosyl compounds
246263_at,similar to unknown [Populus trichocarpa] (GB:ABK94646.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO63439.1); similar to Hypothetical protein [Oryza sativa (japonica cultivar-group)] (GB:AAN52749.1); contains InterPro domain Conserved oligomeric complex COG6 (InterPro:IPR010490)
245263_at,C-terminal processing protease_ putative
247098_at,GTP binding / RNA binding
259664_at,AGP21 (ARABINOGALACTAN PROTEIN 21)
250741_at,myb family transcription factor
261105_at,NRS/ER (NUCLEOTIDE-RHAMNOSE SYNTHASE/EPIMERASE-REDUCTASE)
245672_at,glycoside hydrolase family 28 protein / polygalacturonase (pectinase) family protein
252909_at,SAP domain-containing protein
245188_at,DNA binding / magnesium ion binding / nuclease
245422_at,palmitoyl protein thioesterase family protein
255663_at,double-stranded RNA-binding domain (DsRBD)-containing protein
261722_at,FATB (FATTY ACYL-ACP THIOESTERASES B); acyl carrier/ acyl-ACP thioesterase
247309_at,protein kinase family protein
255467_at,leucine-rich repeat family protein
266512_at,NADH-ubiquinone oxidoreductase-related
246592_at,NHL repeat-containing protein
265991_at,PDE319/ SCA3 (SCABRA 3); DNA binding / DNA-directed RNA polymerase
264489_at,squamosa promoter-binding protein-like 10 (SPL10)
261100_at,NRPD1a (NUCLEAR RNA POLYMERASE D 1A); DNA binding / DNA-directed RNA polymerase
256127_at,no_match
264564_at,transcription factor
250677_at,SWAP (Suppressor-of-White-APricot)/ Surp domain-containing protein
257350_x_at,no_match
264148_at,ANAC003 (Arabidopsis NAC domain containing protein 3); transcription factor
260609_at,lectin protein kinase_ putative
257710_at,similar to unknown protein [Arabidopsis thaliana] (TAIR:AT5G40700.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO14633.1)
261344_at,integral membrane transporter family protein
252236_at,zinc finger (C2H2 type) family protein
258926_s_at,[AT3G10490_ ANAC051/ANAC052 (Arabidopsis NAC domain containing protein 51_ Arabidopsis NAC domain containing protein 52); transcription factor];[AT3G10480_ ANAC050; transcription factor]
266956_at,similar to unknown protein [Arabidopsis thaliana] (TAIR:AT1G29980.1); similar to unknown [Populus trichocarpa] (GB:ABK95079.1); contains InterPro domain Protein of unknown function DUF642 (InterPro:IPR006946); contains InterPro domain Galactose-binding like (InterPro:IPR008979)
250149_at,cinnamoyl-CoA reductase-related
251468_at,(EPSIN3); binding
250220_at,leucine-rich repeat transmembrane protein kinase_ putative
262668_at,LDL1 (LSD1-LIKE1); amine oxidase
248303_at,FTSH11 (FtsH protease 11); ATP-dependent peptidase/ ATPase/ metallopeptidase
257199_at,chloroplast inner membrane import protein Tic22_ putative
262893_at,cullin-related
261237_at,subtilisin-like serine protease-related
250082_at,glycoside hydrolase family 28 protein / polygalacturonase (pectinase) family protein
246813_at,transposable element gene
265307_at,RIN13 (RPM1 INTERACTING PROTEIN 13)
249017_at,C2 domain-containing protein
261014_at,pentatricopeptide (PPR) repeat-containing protein
266940_at,unknown protein
251015_at,similar to SLT1 (SODIUM- AND LITHIUM-TOLERANT 1) [Arabidopsis thaliana] (TAIR:AT2G37570.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO15631.1); contains InterPro domain HSP20-like chaperone (InterPro:IPR008978); contains InterPro domain Heat shock protein Hsp20 (InterPro:IPR002068)
250904_at,subtilase family protein
245896_at,KIWI; DNA binding / transcription coactivator
259971_at,transcription factor
245860_at,oxidoreductase-related
258954_at,armadillo/beta-catenin repeat family protein
254057_at,similar to unknown protein [Arabidopsis thaliana] (TAIR:AT5G61490.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO60860.1); contains InterPro domain Uncharacterised conserved protein UCP012943 (InterPro:IPR016606)
250481_at,similar to unknown protein [Arabidopsis thaliana] (TAIR:AT4G37810.1); similar to 80A08_28 [Brassica rapa subsp. pekinensis] (GB:AAZ67613.1)
248017_at,protein kinase_ putative
248989_at,disease resistance protein (TIR-NBS-LRR class)_ putative
255270_at,ubiquitin family protein
265241_at,transposable element gene
261016_at,glycosyl hydrolase family 1 protein
245248_at,ATB' GAMMA; poly(U) binding / protein phosphatase type 2A regulator
258806_at,similar to unnamed protein product [Vitis vinifera] (GB:CAO69198.1)
247207_at,nucleotide-sugar transporter family protein
258865_at,ANAC045 (Arabidopsis NAC domain containing protein 45); transcription factor
253048_at,formamidase_ putative / formamide amidohydrolase_ putative
261510_at,similar to unnamed protein product [Vitis vinifera] (GB:CAO67526.1)
262916_at,ATGSTU16 (Arabidopsis thaliana Glutathione S-transferase (class tau) 16); glutathione transferase
